,Time(s),RNA,Protein
262,16994.5945946,169.945945946,72204.0613686
263,17059.4594595,170.594594595,72756.2892722
264,17124.3243243,171.243243243,73310.6209012
265,17189.1891892,171.891891892,73867.0562556
266,17254.0540541,172.540540541,74425.5953353
267,17318.9189189,173.189189189,74986.2381404
268,17383.7837838,173.837837838,75548.9846708
269,17448.6486486,174.486486486,76113.8349265
270,17513.5135135,175.135135135,76680.7889076
271,17578.3783784,175.783783784,77249.846614
272,17643.2432432,176.432432432,77821.0080458
273,17708.1081081,177.081081081,78394.2732029
274,17772.972973,177.72972973,78969.6420854
275,17837.8378378,178.378378378,79547.1146933
276,17902.7027027,179.027027027,80126.6910264
277,17967.5675676,179.675675676,80708.3710849
278,18032.4324324,180.324324324,81292.1548688
279,18097.2972973,180.972972973,81878.042378
280,18162.1621622,181.621621622,82466.0336126
281,18227.027027,182.27027027,83056.1285725
282,18291.8918919,182.918918919,83648.3272577
283,18356.7567568,183.567567568,84242.6296683
284,18421.6216216,184.216216216,84839.0358043
285,18486.4864865,184.864864865,85437.5456656
286,18551.3513514,185.513513514,86038.1592522
287,18616.2162162,186.162162162,86640.8765642
288,18681.0810811,186.810810811,87245.6976016
289,18745.9459459,187.459459459,87852.6223642
290,18810.8108108,188.108108108,88461.6508523
291,18875.6756757,188.756756757,89072.7830656
292,18940.5405405,189.405405405,89686.0190044
293,19005.4054054,190.054054054,90301.3586684
294,19070.2702703,190.702702703,90918.8020579
295,19135.1351351,191.351351351,91538.3491726
296,19200.0,192.0,92160.0000127
297,19264.8648649,192.648648649,92783.7545782
298,19329.7297297,193.297297297,93409.612869
299,19394.5945946,193.945945946,94037.5748851
300,19459.4594595,194.594594595,94667.6406266
301,19524.3243243,195.243243243,95299.8100935
302,19589.1891892,195.891891892,95934.0832857
303,19654.0540541,196.540540541,96570.4602032
304,19718.9189189,197.189189189,97208.9408461
305,19783.7837838,197.837837838,97849.5252143
306,19848.6486486,198.486486486,98492.2133079
307,19913.5135135,199.135135135,99137.0051268
308,19978.3783784,199.783783784,99783.9006711
309,20043.2432432,200.432432432,100432.899941
310,20108.1081081,201.081081081,101084.002936
311,20172.972973,201.72972973,101737.209656
312,20237.8378378,202.378378378,102392.520102
313,20302.7027027,203.027027027,103049.934273
314,20367.5675676,203.675675676,103709.452169
315,20432.4324324,204.324324324,104371.073791
316,20497.2972973,204.972972973,105034.799138
317,20562.1621622,205.621621622,105700.62821
318,20627.027027,206.27027027,106368.561008
319,20691.8918919,206.918918919,107038.597531
320,20756.7567568,207.567567568,107710.737779
321,20821.6216216,208.216216216,108384.981753
322,20886.4864865,208.864864865,109061.329452
323,20951.3513514,209.513513514,109739.780877
324,21016.2162162,210.162162162,110420.336027
325,21081.0810811,210.810810811,111102.994902
326,21145.9459459,211.459459459,111787.757502
327,21210.8108108,212.108108108,112474.623828
328,21275.6756757,212.756756757,113163.593879
329,21340.5405405,213.405405405,113854.667656
330,21405.4054054,214.054054054,114547.845158
331,21470.2702703,214.702702703,115243.126385
332,21535.1351351,215.351351351,115940.511338
333,21600.0,216.0,116640.000016
334,21664.8648649,216.648648649,117341.592419
335,21729.7297297,217.297297297,118045.288548
336,21794.5945946,217.945945946,118751.088402
337,21859.4594595,218.594594595,119458.991981
338,21924.3243243,219.243243243,120168.999286
339,21989.1891892,219.891891892,120881.110316
340,22054.0540541,220.540540541,121595.325071
341,22118.9189189,221.189189189,122311.643552
342,22183.7837838,221.837837838,123030.065758
343,22248.6486486,222.486486486,123750.591689
344,22313.5135135,223.135135135,124473.221346
345,22378.3783784,223.783783784,125197.954728
346,22443.2432432,224.432432432,125924.791836
347,22508.1081081,225.081081081,126653.732668
348,22572.972973,225.72972973,127384.777227
349,22637.8378378,226.378378378,128117.92551
350,22702.7027027,227.027027027,128853.177519
351,22767.5675676,227.675675676,129590.533253
352,22832.4324324,228.324324324,130329.992713
353,22897.2972973,228.972972973,131071.555897
354,22962.1621622,229.621621622,131815.222808
355,23027.027027,230.27027027,132560.993443
356,23091.8918919,230.918918919,133308.867804
357,23156.7567568,231.567567568,134058.84589
358,23221.6216216,232.216216216,134810.927702
359,23286.4864865,232.864864865,135565.113239
360,23351.3513514,233.513513514,136321.402501
361,23416.2162162,234.162162162,137079.795489
362,23481.0810811,234.810810811,137840.292202
363,23545.9459459,235.459459459,138602.89264
364,23610.8108108,236.108108108,139367.596804
365,23675.6756757,236.756756757,140134.404693
366,23740.5405405,237.405405405,140903.316308
367,23805.4054054,238.054054054,141674.331647
368,23870.2702703,238.702702703,142447.450712
369,23935.1351351,239.351351351,143222.673503
370,24000.0,240.0,144000.000019
371,24064.8648649,240.648648649,144779.43026
372,24129.7297297,241.297297297,145560.964226
373,24194.5945946,241.945945946,146344.601918
